files_A,files_B,overlap,overlap_ratio,total_changed_lines_A,total_changed_lines_B,total_overlap_ranges,total_overlap_lines,same_file_line_overlap_ratio,max_file_overlap,same_file_churn,churn,conflict
142,3,0,0.0,17291,76,0,0,0.0,0,0,9.762384711558127,0
272,2,2,0.007352941176470588,29080,9,1,7,0.00024064079205197842,7,13,10.278149751489247,0
125,2,1,0.007936507936507936,9620,100,0,0,0.0,0,5,9.18204377282107,0
38,8,1,0.022222222222222223,1816,933,1,3,0.0010913059294288831,3,37,7.919356190660617,1
1,1,1,1.0,14,14,2,28,1.0,17,4,3.367295829986474,0
51,1,0,0.0,2764,14,0,0,0.0,0,0,7.929846429742503,0
1,51,0,0.0,14,2764,0,0,0.0,0,0,7.929846429742503,0
549,2,0,0.0,62711,39,0,0,0.0,0,0,11.046929793122029,0
125,32,6,0.039735099337748346,9892,536,10,77,0.007383966244725738,28,35,9.252345666121213,1
0,9,0,0.0,0,109,0,0,0.0,0,0,4.700480365792417,0
6,0,0,0.0,354,0,0,0,0.0,0,0,5.872117789475416,0
0,6,0,0.0,0,354,0,0,0.0,0,0,5.872117789475416,0
0,404,0,0.0,0,21481,0,0,0.0,0,0,9.974970654157993,0
193,1,1,0.0051813471502590676,9604,15,1,10,0.0010396091069757771,10,7,9.171599543659752,0
496,1,1,0.0020161290322580645,38762,2,1,7,0.00018057991951295015,7,4,10.565273056653059,0
7,2,0,0.0,1151,62,0,0,0.0,0,0,7.101675971619444,0
244,16,16,0.06557377049180328,56430,1186,83,1279,0.022198694806998057,148,244,10.961572942027956,1
77,3,0,0.0,3968,8,0,0,0.0,0,0,8.28828304520769,0
104,1,1,0.009615384615384616,5015,15,5,42,0.008349900596421472,12,10,8.523374050491318,0
137,4,1,0.007142857142857143,11618,408,1,13,0.0010809911857641776,13,7,9.394909401310617,1
2,9,2,0.2222222222222222,10,106,3,25,0.21551724137931033,14,6,4.762173934797756,0
278,7,7,0.025179856115107913,7625,71,7,72,0.009355509355509356,29,35,8.948585921534317,1
85,1,1,0.011764705882352941,7234,6,2,13,0.0017955801104972376,7,4,8.88751459738882,1
31,1,0,0.0,1529,375,0,0,0.0,0,0,7.552237287560802,0
